Event Name,Start Date/Time,End Date/Time,Event Location,Latitude,Longitude
Softball - Adults,2024-07-27T17:00:00.000,2024-07-27T20:00:00.000,James J Walker Park: Softball-01,40.72974205,-74.00630704669005
Celebration,2024-07-07T11:00:00.000,2024-07-07T13:00:00.000,Bryant Park: Bryant Park,40.75375085,-73.98354279430387
Authors,2024-07-10T12:30:00.000,2024-07-10T13:30:00.000,Bryant Park: East 42nd Street Allee,40.75375085,-73.98354279430387
Soccer - Non Regulation,2024-07-09T10:00:00.000,2024-07-09T15:30:00.000,Wagner Playground: Soccer-01,40.7997949,-73.93487686769174
Soccer - Non Regulation,2024-07-10T08:00:00.000,2024-07-10T21:30:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
Soccer - Non Regulation,2024-07-07T13:30:00.000,2024-07-07T16:30:00.000,James J Walker Park: Soccer-01,40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-07-10T09:00:00.000,2024-07-10T13:00:00.000,James J Walker Park: Soccer-01,40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-07-10T09:00:00.000,2024-07-10T23:00:00.000,"James J Walker Park: Soccer-01 ,James J Walker Park: Soccer-01 ,James J Walker Park: Soccer-01",40.72974205,-74.00630704669005
Baseball - 12 and Under (Little League),2024-07-10T08:00:00.000,2024-07-10T21:00:00.000,"James J Walker Park: Softball-01 ,James J Walker Park: Softball-01",40.72974205,-74.00630704669005
Movie Nights,2024-07-08T16:00:00.000,2024-07-08T23:00:00.000,Bryant Park: Lawn,40.75375085,-73.98354279430387
Soccer - Non Regulation,2024-07-07T10:30:00.000,2024-07-07T13:00:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
StoryTime,2024-07-09T10:30:00.000,2024-07-09T11:30:00.000,Bryant Park: East 42nd Street Allee,40.75375085,-73.98354279430387
Soccer - Non Regulation,2024-07-07T18:00:00.000,2024-07-07T21:00:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
Celebration,2024-07-08T11:00:00.000,2024-07-08T12:00:00.000,Bryant Park: Le Carrousel,40.75375085,-73.98354279430387
Baseball - 12 and Under (Little League),2024-07-10T09:00:00.000,2024-07-10T17:00:00.000,James J Walker Park: Softball-01,40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-07-09T17:30:00.000,2024-07-09T21:30:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
Upper Terrace Yoga,2024-07-09T10:00:00.000,2024-07-09T11:00:00.000,Bryant Park: Upper Terrace,40.75375085,-73.98354279430387
Soccer - Non Regulation,2024-07-09T14:30:00.000,2024-07-09T17:00:00.000,"James J Walker Park: Soccer-01 ,James J Walker Park: Soccer-01",40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-07-08T09:00:00.000,2024-07-08T15:00:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
Soccer - Non Regulation,2024-07-07T17:00:00.000,2024-07-07T19:30:00.000,Wagner Playground: Soccer-01,40.7997949,-73.93487686769174
Soccer - Non Regulation,2024-07-07T20:30:00.000,2024-07-07T23:00:00.000,James J Walker Park: Soccer-01,40.72974205,-74.00630704669005
BookClub,2024-07-09T13:00:00.000,2024-07-09T14:00:00.000,Bryant Park: East 42nd Street Allee,40.75375085,-73.98354279430387
Softball (Little league),2024-07-07T08:00:00.000,2024-07-07T12:30:00.000,Wagner Playground: Softball-01,40.7997949,-73.93487686769174
Soccer - Non Regulation,2024-07-08T18:00:00.000,2024-07-08T20:00:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
Soccer - Non Regulation,2024-07-10T09:00:00.000,2024-07-10T15:00:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
Live After Dark,2024-07-09T20:00:00.000,2024-07-09T21:30:00.000,Bryant Park: SW Porch,40.75375085,-73.98354279430387
Baseball - 12 and Under (Little League),2024-07-08T08:00:00.000,2024-07-08T19:00:00.000,"James J Walker Park: Softball-01 ,Corlears Hook Park: Softball-01",40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-07-10T08:00:00.000,2024-07-10T20:00:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
Celebration,2024-07-08T12:30:00.000,2024-07-08T13:30:00.000,Bryant Park: East 42nd Street Allee,40.75375085,-73.98354279430387
Soccer - Non Regulation,2024-07-09T09:00:00.000,2024-07-09T15:00:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
Tai Chi,2024-07-09T07:30:00.000,2024-07-09T08:30:00.000,Bryant Park: Fountain Terrace,40.75375085,-73.98354279430387
Soccer - Non Regulation,2024-07-07T17:00:00.000,2024-07-07T19:00:00.000,James J Walker Park: Soccer-01,40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-07-07T09:00:00.000,2024-07-07T22:00:00.000,James J Walker Park: Soccer-01,40.72974205,-74.00630704669005
Miscellaneous,2024-07-09T15:30:00.000,2024-07-09T17:00:00.000,Wagner Playground: Soccer-01,40.7997949,-73.93487686769174
Soccer - Non Regulation,2024-07-08T09:00:00.000,2024-07-08T15:00:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
Soccer - Non Regulation,2024-07-08T10:00:00.000,2024-07-08T15:30:00.000,Wagner Playground: Soccer-01,40.7997949,-73.93487686769174
Soccer - Non Regulation,2024-07-09T08:00:00.000,2024-07-09T21:30:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
